home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,home_goals,away_goals,Attendance,Venue,Officials,Date,Score,Referee,Notes,Round,Host,Year
West Germany,Argentina,0,,,0,,,Helmut Schoen,Uwe Seeler,Juan Carlos Lorenzo,Antonio Rattín,,Rafael Albrecht · 65,46587,"Villa Park, Birmingham",Konstantin Zecevic (Referee) · Joaquim Fernandes Campos (AR1) · Bertil Loeoew (AR2),1966-07-16,0–0,Konstantin Zecevic,,Group stage,England,1966
Soviet Union,Italy,1,,,0,,,Nikolai Morozov,Albert Shesternyov,Edmondo Fabbri,Sandro Salvadore,Igor Chislenko · 57,,27793,"Roker Park Ground, Sunderland",Rudolf Kreitlein (Referee) · William Crawford (AR1) · Aly Hussein Kandil (AR2),1966-07-16,1–0,Rudolf Kreitlein,,Group stage,England,1966
Portugal,Bulgaria,3,,,0,,,Otto Gloria,Mário Coluna,Rudolf Vytlacil,Boris Gaganelov,Ivan Vutsov (OG) · 17|Eusébio · 38|José Augusto Torres · 81,,25438,"Old Trafford Stadium, Manchester",Jose Maria Codesal (Referee) · Roberto Goicoechea (AR1) · Kurt Tschenscher (AR2),1966-07-16,3–0,Jose Maria Codesal,,Group stage,England,1966
England,Mexico,2,,,0,,,Alf Ramsey,Bobby Moore,Ignacio Trellez,Gustavo Peña,Bobby Charlton · 37|Roger Hunt · 75,,92570,"Wembley Stadium, London",Concetto Lo Bello (Referee) · Duk Ryong Choi (AR1) · Menachem Ashkenazi (AR2),1966-07-16,2–0,Concetto Lo Bello,,Group stage,England,1966
Spain,Switzerland,2,,,1,,,Jose Villalonga,Francisco Gento,Alfredo Foni,René Brodmann,Manuel Sanchís · 57|Amancio Amaro · 75,René-Pierre Quentin · 28,32028,"Hillsborough, Sheffield",Tofik Bakhramov (Referee) · Istvan Zsolt (AR1) · Hugh Phillips (AR2),1966-07-15,2–1,Tofik Bakhramov,,Group stage,England,1966
Uruguay,France,2,,,1,,,Ondino Viera,Horacio Troche,Henri Guerin,Marcel Artelesa,Pedro Rocha · 26|Julio César Cortés · 31,Héctor De Bourgoing (P) · 15,45662,"White City, London",Karol Galba (Referee) · Leo Callaghan (AR1) · Armando Marques (AR2),1966-07-15,2–1,Karol Galba,,Group stage,England,1966
Hungary,Brazil,3,,,1,,,Lajos Baroti,Ferenc Sipos,Vicente Feola,Hilderaldo Bellini,Ferenc Bene · 2|János Farkas · 64|Kálmán Mészöly (P) · 73,Tostão · 14,51387,"Goodison Park, Liverpool",Kenneth Dagnall (Referee) · Kevin Howley (AR1) · Arturo Yamasaki Maldonado (AR2),1966-07-15,3–1,Kenneth Dagnall,,Group stage,England,1966
Korea DPR,Chile,1,,,1,,,Rye Hyun Myung,Pak Seung-zin,Luis Alamos,Leonel Sánchez,Pak Seung-zin · 88,Rubén Marcos (P) · 26,13792,"Ayresome Park, Middlesbrough",Aly Hussein Kandil (Referee) · William Crawford (AR1) · Jim Finney (AR2),1966-07-15,1–1,Aly Hussein Kandil,,Group stage,England,1966
Argentina,Spain,2,,,1,,,Juan Carlos Lorenzo,Antonio Rattín,Jose Villalonga,Francisco Gento,Luis Artime · 65|Luis Artime · 79,Pirri · 71,42738,"Villa Park, Birmingham",Dimitar Rumentchev (Referee) · Arturo Yamasaki Maldonado (AR1) · Konstantin Zecevic (AR2),1966-07-13,2–1,Dimitar Rumentchev,,Group stage,England,1966
France,Mexico,1,,,1,,,Henri Guerin,Marcel Artelesa,Ignacio Trellez,Gustavo Peña,Gérard Hausser · 62,Enrique Borja · 48,69237,"Wembley Stadium, London",Menachem Ashkenazi (Referee) · Joaquim Fernandes Campos (AR1) · Karol Galba (AR2),1966-07-13,1–1,Menachem Ashkenazi,,Group stage,England,1966
Italy,Chile,2,,,0,,,Edmondo Fabbri,Sandro Salvadore,Luis Alamos,Leonel Sánchez,Sandro Mazzola · 8|Paolo Barison · 88,,27199,"Roker Park Ground, Sunderland",Gottfried Dienst (Referee) · Jim Finney (AR1) · Rudolf Kreitlein (AR2),1966-07-13,2–0,Gottfried Dienst,,Group stage,England,1966
Portugal,Hungary,3,,,1,,,Otto Gloria,Mário Coluna,Lajos Baroti,Ferenc Sipos,José Augusto de Almeida · 2|José Augusto de Almeida · 67|José Augusto Torres · 90,Ferenc Bene · 60,29886,"Old Trafford Stadium, Manchester",Leo Callaghan (Referee) · Kevin Howley (AR1) · William Clements (AR2),1966-07-13,3–1,Leo Callaghan,,Group stage,England,1966
Brazil,Bulgaria,2,,,0,,,Vicente Feola,Hilderaldo Bellini,Rudolf Vytlacil,Boris Gaganelov,Pelé · 15|Garrincha · 63,,47308,"Goodison Park, Liverpool",Kurt Tschenscher (Referee) · George Mccabe (AR1) · John Taylor (AR2),1966-07-12,2–0,Kurt Tschenscher,,Group stage,England,1966
Soviet Union,Korea DPR,3,,,0,,,Nikolai Morozov,Albert Shesternyov,Rye Hyun Myung,Pak Seung-zin,Eduard Malofeyev · 31|Anatoliy Banishevskiy · 33|Eduard Malofeyev · 88,,23006,"Ayresome Park, Middlesbrough",Juan Gardeazabal (Referee) · Aly Hussein Kandil (AR1) · Gottfried Dienst (AR2),1966-07-12,3–0,Juan Gardeazabal,,Group stage,England,1966
West Germany,Switzerland,5,,,0,,,Helmut Schoen,Uwe Seeler,Alfredo Foni,Heinz Schneiter,Sigfried Held · 15|Helmut Haller · 20|Franz Beckenbauer · 39|Franz Beckenbauer · 52|Helmut Haller (P) · 77,,36127,"Hillsborough, Sheffield",Hugh Phillips (Referee) · John Adair (AR1) · Bertil Loeoew (AR2),1966-07-12,5–0,Hugh Phillips,,Group stage,England,1966
England,Uruguay,0,,,0,,,Alf Ramsey,Bobby Moore,Ondino Viera,Horacio Troche,,,87148,"Wembley Stadium, London",Istvan Zsolt (Referee) · Tofik Bakhramov (AR1) · Dimitar Rumentchev (AR2),1966-07-11,0–0,Istvan Zsolt,,Group stage,England,1966
Brazil,Czechoslovakia,3,,,1,,,Aymore Moreira,Mauro Ramos,Rudolf Vytlacil,Ladislav Novák,Amarildo Tavares da Silveira · 17|Zito · 69|Vavá · 78,Josef Masopust · 15,68679,"Nacional, Santiago De Chile",Nikolaj Latychev (Referee) · Leo Horn (AR1) · Bob Davidson (AR2),1962-06-17,3–1,Nikolaj Latychev,,Final,Chile,1962
Chile,Yugoslavia,1,,,0,,,Fernando Riera,Jorge Toro,Ljubomir Lovric,Milan Galić,Eladio Rojas · 90,,66697,"Nacional, Santiago De Chile",Juan Gardeazabal (Referee) · Albert Dusch (AR1) · Andor Dorogi (AR2),1962-06-16,1–0,Juan Gardeazabal,,Third-place match,Chile,1962
Brazil,Chile,4,,,2,,,Aymore Moreira,Mauro Ramos,Fernando Riera,Jorge Toro,Garrincha · 9|Garrincha · 32|Vavá · 47|Vavá · 78|Garrincha · 83,Jorge Toro · 42|Leonel Sánchez (P) · 61|Honorino Landa · 80,76594,"Nacional, Santiago De Chile",Arturo Yamasaki Maldonado (Referee) · Esteban Marino (AR1) · Luis Antonio Ventre (AR2),1962-06-13,4–2,Arturo Yamasaki Maldonado,,Semi-finals,Chile,1962
Czechoslovakia,Yugoslavia,3,,,1,,,Rudolf Vytlacil,Ladislav Novák,Ljubomir Lovric,Milan Galić,Josef Kadraba · 48|Adolf Scherer · 80|Adolf Scherer (P) · 84,Dražan Jerković · 69,5890,"Estadio Sausalito, Vina Del Mar",Gottfried Dienst (Referee) · Carl Steiner (AR1) · Cesare Jonni (AR2),1962-06-13,3–1,Gottfried Dienst,,Semi-finals,Chile,1962
Chile,Soviet Union,2,,,1,,,Fernando Riera,Sergio Navarro,Gavril Kachalin,Igor Netto,Leonel Sánchez · 11|Eladio Rojas · 29,Igor Chislenko · 26,17268,"Carlos Dittborn, Arica",Leo Horn (Referee) · Joao Etzel Filho (AR1) · Karol Galba (AR2),1962-06-10,2–1,Leo Horn,,Quarter-finals,Chile,1962
Brazil,England,3,,,1,,,Aymore Moreira,Mauro Ramos,Walter Winterbottom,Johnny Haynes,Garrincha · 31|Vavá · 53|Garrincha · 59,Gerry Hitchens · 38,17736,"Estadio Sausalito, Vina Del Mar",Pierre Schwinte (Referee) · Gottfried Dienst (AR1) · Sergio Bustamante (AR2),1962-06-10,3–1,Pierre Schwinte,,Quarter-finals,Chile,1962
Czechoslovakia,Hungary,1,,,0,,,Rudolf Vytlacil,Ladislav Novák,Lajos Baroti,Gyula Grosics,Adolf Scherer · 13,,11690,"Estadio El Teniente-Codelco, Rancagua",Nikolaj Latychev (Referee) · Fernando Buergo (AR1) · Dimitar Rumentchev (AR2),1962-06-10,1–0,Nikolaj Latychev,,Quarter-finals,Chile,1962
Yugoslavia,West Germany,1,,,0,,,Ljubomir Lovric,Milan Galić,Sepp Herberger,Hans Schäfer,Petar Radaković · 85,,63324,"Nacional, Santiago De Chile",Arturo Yamasaki Maldonado (Referee) · Luis Antonio Ventre (AR1) · Jose Antonio Silva (AR2),1962-06-10,1–0,Arturo Yamasaki Maldonado,,Quarter-finals,Chile,1962
England,Bulgaria,0,,,0,,,Walter Winterbottom,Johnny Haynes,Georgi Pachedzhiev,Nikola Kovachev,,,5700,"Estadio El Teniente-Codelco, Rancagua",Arthur Blavier (Referee) · Adolfe Molina Reginato (AR1) · Bulnes R. (AR2),1962-06-07,0–0,Arthur Blavier,,Group stage,Chile,1962
Mexico,Czechoslovakia,3,,,1,,,Ignacio Trellez,Antonio Carbajal,Rudolf Vytlacil,Ladislav Novák,Isidoro Díaz · 12|Alfredo del Águila · 29|Héctor Hernández (P) · 90,Václav Mašek · 1,10648,"Estadio Sausalito, Vina Del Mar",Gottfried Dienst (Referee) · Branko Tesanic (AR1) · Jose Antonio Sundheim (AR2),1962-06-07,3–1,Gottfried Dienst,,Group stage,Chile,1962
Italy,Switzerland,3,,,0,,,Paolo Mazza,Lorenzo Buffon,Karl Rappan,Charles Antenen,Bruno Mora · 2|Giacomo Bulgarelli · 65|Giacomo Bulgarelli · 67,,59828,"Nacional, Santiago De Chile",Nikolaj Latychev (Referee) · Bob Davidson (AR1) · Dimitar Rumentchev (AR2),1962-06-07,3–0,Nikolaj Latychev,,Group stage,Chile,1962
Yugoslavia,Colombia,5,,,0,,,Ljubomir Lovric,Milan Galić,Adolfo Pedernera,Efraín Sánchez,Milan Galić · 20|Dražan Jerković · 25|Milan Galić · 61|Vojislav Melić · 82|Dražan Jerković · 87,,7167,"Carlos Dittborn, Arica",Carlos Robles (Referee) · Cesare Jonni (AR1) · Karol Galba (AR2),1962-06-07,5–0,Carlos Robles,,Group stage,Chile,1962
West Germany,Chile,2,,,0,,,Sepp Herberger,Hans Schäfer,Fernando Riera,Sergio Navarro,Horst Szymaniak (P) · 21|Uwe Seeler · 82,,67224,"Nacional, Santiago De Chile",Bob Davidson (Referee) · Ken Aston (AR1) · Leo Horn (AR2),1962-06-06,2–0,Bob Davidson,,Group stage,Chile,1962
Soviet Union,Uruguay,2,,,1,,,Gavril Kachalin,Igor Netto,Juan Carlos Corazzo,Horacio Troche,Aleksei Mamykin · 38|Valentin Kozmich Ivanov · 89,José Sasía · 54,9973,"Carlos Dittborn, Arica",Cesare Jonni (Referee) · Andor Dorogi (AR1) · Albert Dusch (AR2),1962-06-06,2–1,Cesare Jonni,,Group stage,Chile,1962
Hungary,Argentina,0,,,0,,,Lajos Baroti,Gyula Grosics,Juan Carlos Lorenzo,Martín Pando,,,7945,"Estadio El Teniente-Codelco, Rancagua",Arturo Yamasaki Maldonado (Referee) · Bulnes R. (AR1) · Juan Gardeazabal (AR2),1962-06-06,0–0,Arturo Yamasaki Maldonado,,Group stage,Chile,1962
Brazil,Spain,2,,,1,,,Aymore Moreira,Mauro Ramos,Helenio Herrera,Enrique Collar,Amarildo Tavares da Silveira · 72|Amarildo Tavares da Silveira · 86,Adelardo Rodríguez · 35,18715,"Estadio Sausalito, Vina Del Mar",Sergio Bustamante (Referee) · Esteban Marino (AR1) · Jose Antonio Sundheim (AR2),1962-06-06,2–1,Sergio Bustamante,,Group stage,Chile,1962
Spain,Mexico,1,,,0,,,Helenio Herrera,Francisco Gento,Ignacio Trellez,Antonio Carbajal,Joaquín Peiró · 90,,11875,"Estadio Sausalito, Vina Del Mar",Branko Tesanic (Referee) · Claudio Vicuna (AR1) · Walter Jose Van Rosberg (AR2),1962-06-03,1–0,Branko Tesanic,,Group stage,Chile,1962
Soviet Union,Colombia,4,,,4,,,Gavril Kachalin,Igor Netto,Adolfo Pedernera,Efraín Sánchez,Valentin Kozmich Ivanov · 8|Igor Chislenko · 10|Valentin Kozmich Ivanov · 11|Viktor Ponedelnik · 56,Germán Aceros · 21|Marcos Coll · 68|Antonio Rada · 72|Marino Klinger · 76,8040,"Carlos Dittborn, Arica",Joao Etzel Filho (Referee) · Andor Dorogi (AR1) · Carlos Robles (AR2),1962-06-03,4–4,Joao Etzel Filho,,Group stage,Chile,1962
Hungary,Bulgaria,6,,,1,,,Lajos Baroti,László Sárosi,Georgi Pachedzhiev,Kiril Rakarov,Flórián Albert · 1|Flórián Albert · 6|Lajos Tichy · 8|Ernő Solymosi · 12|Flórián Albert · 53|Lajos Tichy · 70,Georgi Sokolov · 64,7442,"Estadio El Teniente-Codelco, Rancagua",Juan Gardeazabal (Referee) · Bob Davidson (AR1) · Luis Silva (AR2),1962-06-03,6–1,Juan Gardeazabal,,Group stage,Chile,1962
West Germany,Switzerland,2,,,1,,,Sepp Herberger,Hans Schäfer,Karl Rappan,Charles Antenen,Albert Brülls · 45|Uwe Seeler · 59,Heinz Schneiter · 73,64922,"Nacional, Santiago De Chile",Leo Horn (Referee) · Nikolaj Latychev (AR1) · Luis Antonio Ventre (AR2),1962-06-03,2–1,Leo Horn,,Group stage,Chile,1962
Chile,Italy,2,,,0,,,Fernando Riera,Sergio Navarro,Paolo Mazza,Bruno Mora,Jaime Ramírez · 73|Jorge Toro · 87,Giorgio Ferrini · 8|Mario David · 41,66057,"Nacional, Santiago De Chile",Ken Aston (Referee) · Leo Goldstein (AR1) · Fernando Buergo (AR2),1962-06-02,2–0,Ken Aston,,Group stage,Chile,1962
Brazil,Czechoslovakia,0,,,0,,,Aymore Moreira,Mauro Ramos,Rudolf Vytlacil,Ladislav Novák,,,14903,"Estadio Sausalito, Vina Del Mar",Pierre Schwinte (Referee) · Artur Massaro (AR1) · Gottfried Dienst (AR2),1962-06-02,0–0,Pierre Schwinte,,Group stage,Chile,1962
England,Argentina,3,,,1,,,Walter Winterbottom,Johnny Haynes,Juan Carlos Lorenzo,Rubén Marino Navarro,Ron Flowers (P) · 17|Bobby Charlton · 42|Jimmy Greaves · 67,José Sanfilippo · 81,9794,"Estadio El Teniente-Codelco, Rancagua",Nikolaj Latychev (Referee) · Adolfe Molina Reginato (AR1) · Raymond Morgan (AR2),1962-06-02,3–1,Nikolaj Latychev,,Group stage,Chile,1962
Yugoslavia,Uruguay,3,,,1,,,Ljubomir Lovric,Milan Galić,Juan Carlos Corazzo,Horacio Troche,Josip Skoblar (P) · 25|Milan Galić · 29|Dražan Jerković · 49|Vladica Popović · 71,Ángel Cabrera · 19|Ángel Cabrera · 71,8829,"Carlos Dittborn, Arica",Karol Galba (Referee) · Albert Dusch (AR1) · Cesare Jonni (AR2),1962-06-02,3–1,Karol Galba,,Group stage,Chile,1962
West Germany,Italy,0,,,0,,,Sepp Herberger,Hans Schäfer,Paolo Mazza,Lorenzo Buffon,,,65440,"Nacional, Santiago De Chile",Bob Davidson (Referee) · Raymond Morgan (AR1) · Luis Antonio Ventre (AR2),1962-05-31,0–0,Bob Davidson,,Group stage,Chile,1962
Hungary,England,2,,,1,,,Lajos Baroti,Gyula Grosics,Walter Winterbottom,Johnny Haynes,Lajos Tichy · 17|Flórián Albert · 71,Ron Flowers (P) · 60,7938,"Estadio El Teniente-Codelco, Rancagua",Leo Horn (Referee) · Arthur Blavier (AR1) · Leo Goldstein (AR2),1962-05-31,2–1,Leo Horn,,Group stage,Chile,1962
Czechoslovakia,Spain,1,,,0,,,Rudolf Vytlacil,Ladislav Novák,Helenio Herrera,Joan Segarra,Jozef Štibrányi · 80,,12700,"Estadio Sausalito, Vina Del Mar",Carl Steiner (Referee) · Esteban Marino (AR1) · Walter Jose Van Rosberg (AR2),1962-05-31,1–0,Carl Steiner,,Group stage,Chile,1962
Soviet Union,Yugoslavia,2,,,0,,,Gavril Kachalin,Igor Netto,Ljubomir Lovric,Milan Galić,Valentin Kozmich Ivanov · 51|Viktor Ponedelnik · 83,,9622,"Carlos Dittborn, Arica",Albert Dusch (Referee) · Joao Etzel Filho (AR1) · Carlos Robles (AR2),1962-05-31,2–0,Albert Dusch,,Group stage,Chile,1962
Chile,Switzerland,3,,,1,,,Fernando Riera,Sergio Navarro,Karl Rappan,Charles Antenen,Leonel Sánchez · 44|Jaime Ramírez · 51|Leonel Sánchez · 55,Rolf Wüthrich · 6,65006,"Nacional, Santiago De Chile",Ken Aston (Referee) · Arthur Blavier (AR1) · Arturo Yamasaki Maldonado (AR2),1962-05-30,3–1,Ken Aston,,Group stage,Chile,1962
Uruguay,Colombia,2,,,1,,,Juan Carlos Corazzo,Horacio Troche,Adolfo Pedernera,Francisco Zuluaga,Luis Cubilla · 56|José Sasía · 75,Francisco Zuluaga (P) · 19,7908,"Carlos Dittborn, Arica",Andor Dorogi (Referee) · Joao Etzel Filho (AR1) · Karol Galba (AR2),1962-05-30,2–1,Andor Dorogi,,Group stage,Chile,1962
Brazil,Mexico,2,,,0,,,Aymore Moreira,Mauro Ramos,Ignacio Trellez,Antonio Carbajal,Mário Zagallo · 56|Pelé · 73,,10484,"Estadio Sausalito, Vina Del Mar",Gottfried Dienst (Referee) · Carl Steiner (AR1) · Pierre Schwinte (AR2),1962-05-30,2–0,Gottfried Dienst,,Group stage,Chile,1962
Argentina,Bulgaria,1,,,0,,,Juan Carlos Lorenzo,Rubén Marino Navarro,Georgi Pachedzhiev,Kiril Rakarov,Héctor Facundo · 4,,7134,"Estadio El Teniente-Codelco, Rancagua",Juan Gardeazabal (Referee) · Fernando Buergo (AR1) · Raymond Morgan (AR2),1962-05-30,1–0,Juan Gardeazabal,,Group stage,Chile,1962
Brazil,Sweden,5,,,2,,,Vicente Feola,Hilderaldo Bellini,George Raynor,Nils Liedholm,Vavá · 9|Vavá · 32|Pelé · 55|Mário Zagallo · 68|Pelé · 90,Nils Liedholm · 4|Agne Simonsson · 80,49737,"Rasunda Stadium, Solna",Maurice Guigue (Referee) · Albert Dusch (AR1) · Juan Gardeazabal (AR2),1958-06-29,5–2,Maurice Guigue,,Final,Sweden,1958
France,West Germany,6,,,3,,,Albert Batteaux,Armand Penverne,Sepp Herberger,Hans Schäfer,Just Fontaine · 16|Raymond Kopa (P) · 27|Just Fontaine · 36|Yvon Douis · 50|Just Fontaine · 78|Just Fontaine · 89,Hans Cieslarczyk · 18|Helmut Rahn · 52|Hans Schäfer · 84,32483,"Nya Ullevi, Gothenburg",Juan Brozzi (Referee) · Arthur Ellis (AR1) · Bengt Lundell (AR2),1958-06-28,6–3,Juan Brozzi,,Third-place match,Sweden,1958
Sweden,West Germany,3,,,1,,,George Raynor,Nils Liedholm,Sepp Herberger,Hans Schäfer,Lennart Skoglund · 32|Gunnar Gren · 81|Kurt Hamrin · 88,Hans Schäfer · 24|Erich Juskowiak · 59,49471,"Nya Ullevi, Gothenburg",Istvan Zsolt (Referee) · Fritz Seipelt (AR1) · Arthur Ellis (AR2),1958-06-24,3–1,Istvan Zsolt,,Semi-finals,Sweden,1958
Brazil,France,5,,,2,,,Vicente Feola,Hilderaldo Bellini,Albert Batteaux,Robert Jonquet,Vavá · 2|Didi · 39|Pelé · 52|Pelé · 64|Pelé · 75,Just Fontaine · 9|Roger Piantoni · 83,27100,"Rasunda Stadium, Solna",Benjamin Griffiths (Referee) · Paul Wyssling (AR1) · Reginald Leafe (AR2),1958-06-24,5–2,Benjamin Griffiths,,Semi-finals,Sweden,1958
France,Northern Ireland,4,,,0,,,Albert Batteaux,Robert Jonquet,Peter Doherty,Danny Blanchflower,Maryan Wisnieski · 44|Just Fontaine · 55|Just Fontaine · 63|Roger Piantoni · 68,,11800,"Idrottsparken, Norrkï¿½Ping",Juan Gardeazabal (Referee) · Nikolaj Latychev (AR1) · Bengt Andren (AR2),1958-06-19,4–0,Juan Gardeazabal,,Quarter-finals,Sweden,1958
West Germany,Yugoslavia,1,,,0,,,Sepp Herberger,Hans Schäfer,Aleksandar Tirnanic,Branko Zebec,Helmut Rahn · 12,,20055,"Malmo Stadion, Malmï¿½",Paul Wyssling (Referee) · Joaquim Fernandes Campos (AR1) · Leo Helge (AR2),1958-06-19,1–0,Paul Wyssling,,Quarter-finals,Sweden,1958
Brazil,Wales,1,,,0,,,Vicente Feola,Hilderaldo Bellini,James Murphy,Dave Bowen,Pelé · 66,,25923,"Nya Ullevi, Gothenburg",Fritz Seipelt (Referee) · Maurice Guigue (AR1) · Albert Dusch (AR2),1958-06-19,1–0,Fritz Seipelt,,Quarter-finals,Sweden,1958
Sweden,Soviet Union,2,,,0,,,George Raynor,Nils Liedholm,Gavril Kachalin,Nikita Simonyan,Kurt Hamrin · 49|Agne Simonsson · 88,,31900,"Rasunda Stadium, Solna",Reginald Leafe (Referee) · Juan Brozzi (AR1) · Georg Dragvoll (AR2),1958-06-19,2–0,Reginald Leafe,,Quarter-finals,Sweden,1958
Northern Ireland,Czechoslovakia,2,,,1,,,Peter Doherty,Danny Blanchflower,Karel Kolsky,Ladislav Novák,Peter McParland · 44|Peter McParland · 99,Zdeněk Zikán · 19|Titus Buberník · 102,6196,"Malmo Stadion, Malmï¿½",Maurice Guigue (Referee) · Joaquim Fernandes Campos (AR1) · Sten Ahlner (AR2),1958-06-17,2–1,Maurice Guigue,Required Extra Time,Group stage play-off,Sweden,1958
Wales,Hungary,2,,,1,,,James Murphy,Dave Bowen,Lajos Baroti,József Bozsik,Ivor Allchurch · 55|Terry Medwin · 76,Lajos Tichy · 33|Ferenc Sipos · 79,2823,"Rasunda Stadium, Solna",Nikolaj Latychev (Referee) · Jose Maria Codesal (AR1) · Arne Eriksson (AR2),1958-06-17,2–1,Nikolaj Latychev,,Group stage play-off,Sweden,1958
Soviet Union,England,1,,,0,,,Gavril Kachalin,Nikita Simonyan,Walter Winterbottom,Billy Wright,Anatoli Ilyin · 68,,23182,"Nya Ullevi, Gothenburg",Albert Dusch (Referee) · Jan Bronkhorst (AR1) · Fritz Seipelt (AR2),1958-06-17,1–0,Albert Dusch,,Group stage play-off,Sweden,1958
Sweden,Wales,0,,,0,,,George Raynor,Bengt Gustavsson,James Murphy,Dave Bowen,,,30287,"Rasunda Stadium, Solna",Lucien Van Nuffel (Referee) · Leo Lemesic (AR1) · Nikolaj Latychev (AR2),1958-06-15,0–0,Lucien Van Nuffel,,Group stage,Sweden,1958
Paraguay,Yugoslavia,3,,,3,,,Aurelio Gonzalez,Juan Bautista Agüero,Aleksandar Tirnanic,Branko Zebec,José Parodi · 20|Juan Bautista Agüero · 49|Jorge Lino Romero · 80,Radivoje Ognjanović · 12|Todor Veselinović · 29|Zdravko Rajkov · 73,13103,"Tunavallen, Eskilstuna",Martin Macko (Referee) · Benjamin Griffiths (AR1) · Juan Gardeazabal (AR2),1958-06-15,3–3,Martin Macko,,Group stage,Sweden,1958
West Germany,Northern Ireland,2,,,2,,,Sepp Herberger,Hans Schäfer,Peter Doherty,Danny Blanchflower,Helmut Rahn · 20|Uwe Seeler · 79,Peter McParland · 19|Peter McParland · 60,21990,"Malmo Stadion, Malmï¿½",Joaquim Fernandes Campos (Referee) · Sten Ahlner (AR1) · Leo Helge (AR2),1958-06-15,2–2,Joaquim Fernandes Campos,,Group stage,Sweden,1958
Czechoslovakia,Argentina,6,,,1,,,Karel Kolsky,Ladislav Novák,Guillermo Stabile,Pedro Dellacha,Milan Dvořák · 8|Zdeněk Zikán · 17|Zdeněk Zikán · 40|Jiří Feureisl · 69|Václav Hovorka · 82|Václav Hovorka · 89,Oreste Corbatta (P) · 65,16418,"Olympia Stadium, Helsingborg",Arthur Ellis (Referee) · Reginald Leafe (AR1) · Fritz Seipelt (AR2),1958-06-15,6–1,Arthur Ellis,,Group stage,Sweden,1958
England,Austria,2,,,2,,,Walter Winterbottom,Billy Wright,Josef Argauer,Gerhard Hanappi,Johnny Haynes · 56|Derek Kevan · 73,Karl Koller · 16|Alfred Körner · 70,15872,"Ryavallen, Boras",Jan Bronkhorst (Referee) · Albert Dusch (AR1) · Istvan Zsolt (AR2),1958-06-15,2–2,Jan Bronkhorst,,Group stage,Sweden,1958
Brazil,Soviet Union,2,,,0,,,Vicente Feola,Hilderaldo Bellini,Gavril Kachalin,Igor Netto,Vavá · 3|Vavá · 77,,50928,"Nya Ullevi, Gothenburg",Maurice Guigue (Referee) · Birger Nilsen (AR1) · Carl Frederik Jorgensen (AR2),1958-06-15,2–0,Maurice Guigue,,Group stage,Sweden,1958
Hungary,Mexico,4,,,0,,,Lajos Baroti,Nándor Hidegkuti,Antonio Lopez,Antonio Carbajal,Lajos Tichy · 19|Lajos Tichy · 46|Károly Sándor · 54|József Bencsics · 69,,13300,"Jarnvallen, Sandviken",Arne Eriksson (Referee) · Jose Maria Codesal (AR1) · Jack Mowat (AR2),1958-06-15,4–0,Arne Eriksson,,Group stage,Sweden,1958
France,Scotland,2,,,1,,,Albert Batteaux,Robert Jonquet,Dawson Walker,Bobby Evans,Raymond Kopa · 22|Just Fontaine · 44,Sammy Baird · 66,13554,"Eyravallen, Orebro",Juan Brozzi (Referee) · Vincenzo Orlandini (AR1) · Paul Wyssling (AR2),1958-06-15,2–1,Juan Brozzi,,Group stage,Sweden,1958
Sweden,Hungary,2,,,1,,,George Raynor,Nils Liedholm,Lajos Baroti,József Bozsik,Kurt Hamrin · 34|Kurt Hamrin · 55,Lajos Tichy · 77,38850,"Rasunda Stadium, Solna",Jack Mowat (Referee) · Lucien Van Nuffel (AR1) · Georg Dragvoll (AR2),1958-06-12,2–1,Jack Mowat,,Group stage,Sweden,1958
Soviet Union,Austria,2,,,0,,,Gavril Kachalin,Nikita Simonyan,Josef Argauer,Gerhard Hanappi,Anatoli Ilyin · 15|Valentin Kozmich Ivanov · 63,,21239,"Ryavallen, Boras",Carl Frederik Jorgensen (Referee) · Birger Nilsen (AR1) · Gosta Ackeborn (AR2),1958-06-11,2–0,Carl Frederik Jorgensen,,Group stage,Sweden,1958
West Germany,Czechoslovakia,2,,,2,,,Sepp Herberger,Hans Schäfer,Karel Kolsky,Ladislav Novák,Hans Schäfer · 59|Helmut Rahn · 70,Milan Dvořák (P) · 24|Zdeněk Zikán · 43,25000,"Olympia Stadium, Helsingborg",Arthur Ellis (Referee) · Reginald Leafe (AR1) · Fritz Seipelt (AR2),1958-06-11,2–2,Arthur Ellis,,Group stage,Sweden,1958
Argentina,Northern Ireland,3,,,1,,,Guillermo Stabile,Pedro Dellacha,Peter Doherty,Danny Blanchflower,Oreste Corbatta (P) · 38|Norberto Menéndez · 55|Ludovico Avio · 59,Peter McParland · 3,14174,"Orjans Vall, Halmstad",Sten Ahlner (Referee) · Joaquim Fernandes Campos (AR1) · Leo Helge (AR2),1958-06-11,3–1,Sten Ahlner,,Group stage,Sweden,1958
Yugoslavia,France,3,,,2,,,Aleksandar Tirnanic,Branko Zebec,Albert Batteaux,Roger Marche,Aleksandar Petaković · 16|Todor Veselinović · 63|Todor Veselinović · 88,Just Fontaine · 4|Just Fontaine · 85,12217,"Arosvallen, Vasteras",Benjamin Griffiths (Referee) · Paul Wyssling (AR1) · Georg Dragvoll (AR2),1958-06-11,3–2,Benjamin Griffiths,,Group stage,Sweden,1958
